doubt_id,text,topic,urgency
DBT000042,"trying to understand tail recursion vs normal recursion, would like this before the next class",Loops_Recursion,Medium
DBT000043,"my class diagram doesn't match the actual code structure, deadline is tomorrow",OOP_Design,High
DBT000044,"cannot install the required package on my laptop, no rush",Env_Setup,Low
DBT000045,"hi, submission portal is not accepting my file before the deadline, system crashed during the final demo",Deadline_Admin,Critical
DBT000046,"constructor is not initializing the parent class fields, need to fix this soon please help",OOP_Design,Medium
DBT000047,"loop runs forever and I don't know why, would like this before the next class",Loops_Recursion,High
DBT000048,"my sql join is returning duplicate rows, would like this before the next class",Databases,Medium
DBT000049,"hi, cors error when calling the backend from the frontend, need to fix this soon",WebDev,Medium
DBT000050,"stack trace points to a line that looks fine to me, whenever you get a chance",Debugging_Errors,Low
DBT000051,"hi, grade for the last assignment has not appeared yet, would like this before the next class",Deadline_Admin,Medium
DBT000052,"not sure how polymorphism applies to this assignment, need to fix this soon",OOP_Design,Medium
DBT000053,"api call returns 404 only in production, system crashed during the final demo",WebDev,Critical
DBT000054,"getting a null pointer exception i cannot trace, just curious",Debugging_Errors,Low
DBT000055,"virtual environment not activating on windows, no rush",Env_Setup,Low
DBT000056,not sure which time complexity my solution actually has,Algorithms,Medium
DBT000057,"my class diagram doesn't match the actual code structure, need to fix this soon please help",OOP_Design,Medium
DBT000058,"getting a null pointer exception i cannot trace, system crashed during the final demo",Debugging_Errors,Critical
DBT000059,"python version mismatch is breaking the autograder, deadline is tomorrow",Env_Setup,High
DBT000060,"my recursive function never hits the base case, need to fix this soon",Loops_Recursion,Medium
DBT000061,"git merge conflict i don't know how to resolve, for future reference",Env_Setup,Low
DBT000062,"grade for the last assignment has not appeared yet, would like this before the next class",Deadline_Admin,Medium
DBT000063,"git merge conflict i don't know how to resolve, whenever you get a chance",Env_Setup,Low
DBT000064,"my class diagram doesn't match the actual code structure, just curious",OOP_Design,Low
DBT000065,my recursive function never hits the base case,Loops_Recursion,Low
DBT000066,"hi, not sure which time complexity my solution actually has, need to fix this soon",Algorithms,Medium
DBT000067,"hi, my sql join is returning duplicate rows, for future reference",Databases,Low
DBT000068,getting a null pointer exception i cannot trace,Debugging_Errors,High
DBT000069,not sure how polymorphism applies to this assignment,OOP_Design,Low
DBT000070,cors error when calling the backend from the frontend,WebDev,High
DBT000071,"greedy approach fails on this specific test case, need to fix this soon",Algorithms,Medium
DBT000072,cors error when calling the backend from the frontend please help,WebDev,Medium
DBT000073,"hi, python version mismatch is breaking the autograder",Env_Setup,High
DBT000074,confused about when to use inheritance vs composition,OOP_Design,Low
DBT000075,"hi, virtual environment not activating on windows, need to fix this soon",Env_Setup,Medium
DBT000076,"submission portal is not accepting my file before the deadline, this is blocking my progress",Deadline_Admin,High
DBT000077,"my sql join is returning duplicate rows, need to fix this soon please help",Databases,Medium
DBT000078,api call returns 404 only in production,WebDev,Low
DBT000079,"database connection keeps timing out during the demo, for future reference",Databases,Low
DBT000080,"exam is in two hours and autograder is down, just curious",Deadline_Admin,Low
DBT000081,"my sorting algorithm is too slow for large inputs, this is blocking my progress",Algorithms,High
DBT000082,"query is extremely slow on the test dataset, this is blocking my progress",Databases,High
DBT000083,"not sure which time complexity my solution actually has, need help asap please help",Algorithms,High
DBT000084,virtual environment not activating on windows,Env_Setup,High
DBT000085,"getting a null pointer exception i cannot trace, deadline is tomorrow",Debugging_Errors,High
DBT000086,"foreign key constraint fails on insert, need to fix this soon",Databases,Medium
DBT000087,"constructor is not initializing the parent class fields, just curious",OOP_Design,Low
DBT000088,"query is extremely slow on the test dataset, this is blocking my progress",Databases,High
DBT000089,react component re-renders infinitely,WebDev,Low
DBT000090,"index out of bounds error only on the last test case, would like this before the next class",Debugging_Errors,Medium
DBT000091,"extension request for the assignment due tonight, would like this before the next class",Deadline_Admin,Medium
DBT000092,"hi, graph traversal is missing some nodes, need help asap",Algorithms,High
DBT000093,constructor is not initializing the parent class fields,OOP_Design,Low
DBT000094,"my sql join is returning duplicate rows, for future reference",Databases,Low
DBT000095,"not sure which time complexity my solution actually has, for future reference",Algorithms,Low
DBT000096,"hi, virtual environment not activating on windows, need to fix this soon",Env_Setup,Medium
DBT000097,foreign key constraint fails on insert please help,Databases,Low
DBT000098,segmentation fault when i run the test suite please help,Debugging_Errors,High
DBT000099,"git merge conflict i don't know how to resolve, need help asap",Env_Setup,High
DBT000100,"graph traversal is missing some nodes, would like this before the next class",Algorithms,Medium
DBT000101,"confused about when to use inheritance vs composition, would like this before the next class",OOP_Design,Medium
DBT000102,"grade for the last assignment has not appeared yet, this is blocking my progress",Deadline_Admin,High
DBT000103,"grade for the last assignment has not appeared yet, would like this before the next class",Deadline_Admin,Medium
DBT000104,getting a null pointer exception i cannot trace,Debugging_Errors,Low
DBT000105,"grade for the last assignment has not appeared yet, need to fix this soon",Deadline_Admin,Medium
DBT000106,not sure how polymorphism applies to this assignment,OOP_Design,Low
DBT000107,"hi, dynamic programming table is giving wrong values, need to fix this soon please help",Algorithms,Medium
DBT000108,trying to understand tail recursion vs normal recursion,Loops_Recursion,Low
DBT000109,"grade for the last assignment has not appeared yet, whenever you get a chance",Deadline_Admin,Low
DBT000110,"index out of bounds error only on the last test case, whenever you get a chance",Debugging_Errors,Low
DBT000111,"dynamic programming table is giving wrong values, would like this before the next class",Algorithms,Medium
DBT000112,"my sorting algorithm is too slow for large inputs, for future reference please help",Algorithms,Low
DBT000113,foreign key constraint fails on insert,Databases,Low
DBT000114,"submission portal is not accepting my file before the deadline, deadline is tomorrow",Deadline_Admin,High
DBT000115,"hi, loop runs forever and I don't know why, would like this before the next class",Loops_Recursion,Medium
DBT000116,"hi, cors error when calling the backend from the frontend, no rush",WebDev,Low
DBT000117,"query is extremely slow on the test dataset, would like this before the next class",Databases,Medium
DBT000118,"git merge conflict i don't know how to resolve, for future reference",Env_Setup,Low
DBT000119,"confused about when to use inheritance vs composition, need to fix this soon",OOP_Design,Medium
DBT000120,"my code throws an error only on the grading server not locally, no rush",Debugging_Errors,Low
DBT000121,"stack trace points to a line that looks fine to me, need to fix this soon",Debugging_Errors,Medium
DBT000122,segmentation fault when i run the test suite,Debugging_Errors,Low
DBT000123,"virtual environment not activating on windows, system crashed during the final demo",Env_Setup,Critical
DBT000124,not sure how polymorphism applies to this assignment,OOP_Design,Medium
DBT000125,submission portal is not accepting my file before the deadline,Deadline_Admin,Critical
DBT000126,"not sure which time complexity my solution actually has, for future reference",Algorithms,Low
DBT000127,"submission portal is not accepting my file before the deadline, need to fix this soon",Deadline_Admin,Medium
DBT000128,for loop skips the last element,Loops_Recursion,Medium
DBT000129,"hi, loop runs forever and I don't know why, this is blocking my progress",Loops_Recursion,High
DBT000130,"trying to understand tail recursion vs normal recursion, for future reference",Loops_Recursion,Low
DBT000131,"index out of bounds error only on the last test case, for future reference",Debugging_Errors,Low
DBT000132,"query is extremely slow on the test dataset, this is blocking my progress",Databases,High
DBT000133,"database connection keeps timing out during the demo, system crashed during the final demo",Databases,Critical
DBT000134,"while loop condition never becomes false, whenever you get a chance",Loops_Recursion,Low
DBT000135,"not sure how polymorphism applies to this assignment, would like this before the next class",OOP_Design,Medium
DBT000136,"index out of bounds error only on the last test case, need help asap",Debugging_Errors,High
DBT000137,"hi, getting an abstract method error in my subclass, no rush",OOP_Design,Low
DBT000138,"react component re-renders infinitely, would like this before the next class",WebDev,Medium
DBT000139,"my sorting algorithm is too slow for large inputs, deadline is tomorrow",Algorithms,High
DBT000140,"hi, my code throws an error only on the grading server not locally, just curious",Debugging_Errors,Low
DBT000141,"hi, python version mismatch is breaking the autograder, whenever you get a chance",Env_Setup,Low
DBT000142,api call returns 404 only in production,WebDev,Medium
DBT000143,"python version mismatch is breaking the autograder, for future reference",Env_Setup,Low
DBT000144,"hi, my recursive function never hits the base case, need help asap",Loops_Recursion,High
DBT000145,"hi, cors error when calling the backend from the frontend, submission is due in one hour",WebDev,Critical
DBT000146,"grade for the last assignment has not appeared yet, need to fix this soon please help",Deadline_Admin,Medium
DBT000147,"cors error when calling the backend from the frontend, need to fix this soon",WebDev,Medium
DBT000148,database connection keeps timing out during the demo,Databases,Low
DBT000149,confused about when to use inheritance vs composition,OOP_Design,Low
DBT000150,virtual environment not activating on windows please help,Env_Setup,High
DBT000151,python version mismatch is breaking the autograder please help,Env_Setup,Low
DBT000152,"for loop skips the last element, would like this before the next class",Loops_Recursion,Medium
DBT000153,"segmentation fault when i run the test suite, exam is happening right now",Debugging_Errors,Critical
DBT000154,"trying to understand tail recursion vs normal recursion, no rush",Loops_Recursion,Low
DBT000155,"hi, my sorting algorithm is too slow for large inputs, deadline is tomorrow",Algorithms,High
DBT000156,"cannot install the required package on my laptop, for future reference",Env_Setup,Low
DBT000157,loop runs forever and I don't know why,Loops_Recursion,Medium
DBT000158,"loop runs forever and I don't know why, whenever you get a chance",Loops_Recursion,Low
DBT000159,"virtual environment not activating on windows, no rush",Env_Setup,Low
DBT000160,"exam is in two hours and autograder is down, system crashed during the final demo",Deadline_Admin,Critical
DBT000161,getting a null pointer exception i cannot trace,Debugging_Errors,Medium
DBT000162,"cors error when calling the backend from the frontend, no rush",WebDev,Low
DBT000163,"hi, not sure how polymorphism applies to this assignment, just curious",OOP_Design,Low
DBT000164,extension request for the assignment due tonight,Deadline_Admin,High
DBT000165,"hi, segmentation fault when i run the test suite",Debugging_Errors,Medium
DBT000166,"cannot install the required package on my laptop, whenever you get a chance",Env_Setup,Low
DBT000167,"segmentation fault when i run the test suite, for future reference",Debugging_Errors,Low
DBT000168,"hi, recursion depth exceeded error keeps showing up",Loops_Recursion,Low
DBT000169,"git merge conflict i don't know how to resolve, need help asap",Env_Setup,High
DBT000170,"react component re-renders infinitely, for future reference",WebDev,Low
DBT000171,"virtual environment not activating on windows, would like this before the next class",Env_Setup,Medium
DBT000172,"hi, while loop condition never becomes false, need to fix this soon please help",Loops_Recursion,Medium
DBT000173,"segmentation fault when i run the test suite, would like this before the next class",Debugging_Errors,Medium
DBT000174,"hi, index out of bounds error only on the last test case, need to fix this soon",Debugging_Errors,Medium
DBT000175,"not sure which time complexity my solution actually has, for future reference",Algorithms,Low
DBT000176,"loop runs forever and I don't know why, for future reference",Loops_Recursion,Low
DBT000177,"database connection keeps timing out during the demo, would like this before the next class",Databases,Medium
DBT000178,"getting a null pointer exception i cannot trace, this is blocking my progress",Debugging_Errors,High
DBT000179,"my recursive function never hits the base case, submission is due in one hour",Loops_Recursion,Critical
DBT000180,"confused about when to use inheritance vs composition, need help asap",OOP_Design,High
DBT000181,"constructor is not initializing the parent class fields, deadline is tomorrow",OOP_Design,High
DBT000182,"hi, virtual environment not activating on windows",Env_Setup,Critical
DBT000183,"api call returns 404 only in production, whenever you get a chance",WebDev,Low
DBT000184,"grade for the last assignment has not appeared yet, would like this before the next class please help",Deadline_Admin,Medium
DBT000185,"greedy approach fails on this specific test case, deadline is tomorrow",Algorithms,High
DBT000186,"getting an abstract method error in my subclass, need to fix this soon",OOP_Design,Medium
DBT000187,not sure how polymorphism applies to this assignment please help,OOP_Design,Medium
DBT000188,"react component re-renders infinitely, deadline is tomorrow",WebDev,High
DBT000189,"react component re-renders infinitely, would like this before the next class",WebDev,Medium
DBT000190,"my sorting algorithm is too slow for large inputs, no rush",Algorithms,Low
DBT000191,"not sure which time complexity my solution actually has, need to fix this soon",Algorithms,Medium
DBT000192,"dynamic programming table is giving wrong values, need to fix this soon please help",Algorithms,Medium
DBT000193,"hi, segmentation fault when i run the test suite, just curious",Debugging_Errors,Low
DBT000194,"my sorting algorithm is too slow for large inputs, would like this before the next class",Algorithms,Medium
DBT000195,react component re-renders infinitely,WebDev,Low
DBT000196,foreign key constraint fails on insert,Databases,Low
DBT000197,"constructor is not initializing the parent class fields, this is blocking my progress please help",OOP_Design,High
DBT000198,extension request for the assignment due tonight,Deadline_Admin,High
DBT000199,"hi, my sql join is returning duplicate rows, need to fix this soon please help",Databases,Medium
DBT000200,"getting an abstract method error in my subclass, need help asap",OOP_Design,High
DBT000201,submission portal is not accepting my file before the deadline,Deadline_Admin,High
DBT000202,"react component re-renders infinitely, for future reference",WebDev,Low
DBT000203,constructor is not initializing the parent class fields,OOP_Design,High
DBT000204,"hi, stack trace points to a line that looks fine to me, for future reference",Debugging_Errors,Low
DBT000205,"hi, react component re-renders infinitely",WebDev,Low
DBT000206,my recursive function never hits the base case,Loops_Recursion,Critical
DBT000207,"dynamic programming table is giving wrong values, whenever you get a chance please help",Algorithms,Low
DBT000208,submission portal is not accepting my file before the deadline,Deadline_Admin,Medium
DBT000209,"loop runs forever and I don't know why, need to fix this soon",Loops_Recursion,Medium
DBT000210,"for loop skips the last element, no rush please help",Loops_Recursion,Low
DBT000211,"hi, git merge conflict i don't know how to resolve",Env_Setup,Low
DBT000212,"hi, not sure how polymorphism applies to this assignment, deadline is tomorrow",OOP_Design,High
DBT000213,"python version mismatch is breaking the autograder, this is blocking my progress",Env_Setup,High
DBT000214,api call returns 404 only in production,WebDev,Medium
DBT000215,"getting an abstract method error in my subclass, this is blocking my progress",OOP_Design,High
DBT000216,"confused about when to use inheritance vs composition, would like this before the next class",OOP_Design,Medium
DBT000217,"hi, while loop condition never becomes false please help",Loops_Recursion,Low
DBT000218,"hi, my sql join is returning duplicate rows, system crashed during the final demo",Databases,Critical
DBT000219,"dynamic programming table is giving wrong values, would like this before the next class",Algorithms,Medium
DBT000220,"hi, cannot install the required package on my laptop, need to fix this soon",Env_Setup,Medium
DBT000221,"hi, extension request for the assignment due tonight, exam is happening right now",Deadline_Admin,Critical
DBT000222,"hi, react component re-renders infinitely, would like this before the next class please help",WebDev,Medium
DBT000223,"grade for the last assignment has not appeared yet, need to fix this soon",Deadline_Admin,Medium
DBT000224,"confused about when to use inheritance vs composition, just curious",OOP_Design,Low
DBT000225,"hi, greedy approach fails on this specific test case, no rush",Algorithms,Low
DBT000226,"confused about when to use inheritance vs composition, for future reference",OOP_Design,Low
DBT000227,virtual environment not activating on windows,Env_Setup,Medium
DBT000228,"constructor is not initializing the parent class fields, would like this before the next class",OOP_Design,Medium
DBT000229,getting a null pointer exception i cannot trace,Debugging_Errors,Low
DBT000230,"stack trace points to a line that looks fine to me, whenever you get a chance please help",Debugging_Errors,Low
DBT000231,"my class diagram doesn't match the actual code structure, deadline is tomorrow",OOP_Design,High
DBT000232,"hi, constructor is not initializing the parent class fields, would like this before the next class please help",OOP_Design,Medium
DBT000233,"virtual environment not activating on windows, need to fix this soon",Env_Setup,Medium
DBT000234,"hi, recursion depth exceeded error keeps showing up, would like this before the next class",Loops_Recursion,Medium
DBT000235,"my sql join is returning duplicate rows, just curious",Databases,Low
DBT000236,"hi, form submission is not updating the database, this is blocking my progress please help",WebDev,High
DBT000237,react component re-renders infinitely please help,WebDev,Medium
DBT000238,"my sorting algorithm is too slow for large inputs, deadline is tomorrow",Algorithms,High
DBT000239,"database connection keeps timing out during the demo, need to fix this soon",Databases,Medium
DBT000240,"hi, not sure which time complexity my solution actually has, just curious please help",Algorithms,Low
DBT000241,"virtual environment not activating on windows, for future reference",Env_Setup,Low
DBT000242,"extension request for the assignment due tonight, would like this before the next class please help",Deadline_Admin,Medium
DBT000243,"not sure which time complexity my solution actually has, just curious",Algorithms,Low
DBT000244,"my class diagram doesn't match the actual code structure, this is blocking my progress",OOP_Design,High
DBT000245,python version mismatch is breaking the autograder please help,Env_Setup,Low
DBT000246,"hi, not sure how to normalize this schema for the project",Databases,Medium
DBT000247,greedy approach fails on this specific test case,Algorithms,Medium
DBT000248,trying to understand tail recursion vs normal recursion,Loops_Recursion,Low
DBT000249,exam is in two hours and autograder is down please help,Deadline_Admin,High
DBT000250,"getting an abstract method error in my subclass, need to fix this soon",OOP_Design,Medium
DBT000251,foreign key constraint fails on insert,Databases,Low
DBT000252,"not sure how polymorphism applies to this assignment, would like this before the next class please help",OOP_Design,Medium
DBT000253,"hi, getting a null pointer exception i cannot trace please help",Debugging_Errors,Medium
DBT000254,cannot install the required package on my laptop,Env_Setup,Medium
DBT000255,"not sure how polymorphism applies to this assignment, no rush please help",OOP_Design,Low
DBT000256,my class diagram doesn't match the actual code structure please help,OOP_Design,Low
DBT000257,"hi, not sure how polymorphism applies to this assignment, would like this before the next class please help",OOP_Design,Medium
DBT000258,"hi, git merge conflict i don't know how to resolve",Env_Setup,Critical
DBT000259,"cannot install the required package on my laptop, system crashed during the final demo",Env_Setup,Critical
DBT000260,stack trace points to a line that looks fine to me please help,Debugging_Errors,Medium
DBT000261,"hi, database connection keeps timing out during the demo, need to fix this soon",Databases,Medium
DBT000262,"virtual environment not activating on windows, for future reference please help",Env_Setup,Low
DBT000263,"hi, trying to understand tail recursion vs normal recursion",Loops_Recursion,Medium
DBT000264,"cors error when calling the backend from the frontend, no rush",WebDev,Low
DBT000265,"constructor is not initializing the parent class fields, need help asap",OOP_Design,High
DBT000266,"my sql join is returning duplicate rows, for future reference",Databases,Low
DBT000267,git merge conflict i don't know how to resolve,Env_Setup,Medium
DBT000268,"react component re-renders infinitely, just curious",WebDev,Low
DBT000269,trying to understand tail recursion vs normal recursion please help,Loops_Recursion,Medium
DBT000270,"hi, foreign key constraint fails on insert, exam is happening right now please help",Databases,Medium
DBT000271,"my code throws an error only on the grading server not locally, for future reference",Debugging_Errors,Low
DBT000272,"extension request for the assignment due tonight, this is blocking my progress",Deadline_Admin,High
DBT000273,while loop condition never becomes false,Loops_Recursion,Low
DBT000274,"git merge conflict i don't know how to resolve, this is blocking my progress",Env_Setup,High
DBT000275,"query is extremely slow on the test dataset, would like this before the next class please help",Databases,Medium
DBT000276,"hi, extension request for the assignment due tonight, exam is happening right now please help",Deadline_Admin,Critical
DBT000277,"hi, confused about when to use inheritance vs composition",OOP_Design,Low
DBT000278,"grade for the last assignment has not appeared yet, whenever you get a chance",Deadline_Admin,Low
DBT000279,"trying to understand tail recursion vs normal recursion, need to fix this soon",Loops_Recursion,Medium
DBT000280,"my code throws an error only on the grading server not locally, for future reference please help",Debugging_Errors,Low
DBT000281,"not sure which time complexity my solution actually has, this is blocking my progress",Algorithms,High
DBT000282,"submission portal is not accepting my file before the deadline, deadline is tomorrow",Deadline_Admin,High
DBT000283,"graph traversal is missing some nodes, for future reference",Algorithms,Low
DBT000284,"api call returns 404 only in production, for future reference",WebDev,Low
DBT000285,"index out of bounds error only on the last test case, whenever you get a chance",Debugging_Errors,Low
DBT000286,"hi, react component re-renders infinitely",WebDev,Medium
DBT000287,"getting a null pointer exception i cannot trace, no rush",Debugging_Errors,Low
DBT000288,"hi, not sure which time complexity my solution actually has, would like this before the next class",Algorithms,Medium
DBT000289,"graph traversal is missing some nodes, need to fix this soon",Algorithms,Critical
DBT000290,"grade for the last assignment has not appeared yet, whenever you get a chance",Deadline_Admin,Low
DBT000291,"hi, not sure how to normalize this schema for the project please help",Databases,High
DBT000292,"cors error when calling the backend from the frontend, no rush",WebDev,Low
DBT000293,"extension request for the assignment due tonight, exam is happening right now please help",Deadline_Admin,Critical
DBT000294,"dynamic programming table is giving wrong values, would like this before the next class",Algorithms,Medium
DBT000295,"cors error when calling the backend from the frontend, exam is happening right now",WebDev,Critical
DBT000296,my sql join is returning duplicate rows please help,Databases,Critical
DBT000297,my sql join is returning duplicate rows,Databases,Low
DBT000298,"exam is in two hours and autograder is down, need help asap",Deadline_Admin,High
DBT000299,"query is extremely slow on the test dataset, no rush",Databases,Low
DBT000300,"react component re-renders infinitely, need to fix this soon",WebDev,Medium
DBT000301,"grade for the last assignment has not appeared yet, whenever you get a chance",Deadline_Admin,Low
DBT000302,"hi, grade for the last assignment has not appeared yet, this is blocking my progress",Deadline_Admin,High
DBT000303,"submission portal is not accepting my file before the deadline, deadline is tomorrow",Deadline_Admin,High
DBT000304,"hi, stack trace points to a line that looks fine to me, need to fix this soon",Debugging_Errors,Medium
DBT000305,while loop condition never becomes false,Loops_Recursion,Low
DBT000306,constructor is not initializing the parent class fields,OOP_Design,Low
DBT000307,query is extremely slow on the test dataset,Databases,Low
DBT000308,"hi, dynamic programming table is giving wrong values",Algorithms,Low
DBT000309,"python version mismatch is breaking the autograder, just curious please help",Env_Setup,High
DBT000310,form submission is not updating the database,WebDev,Low
DBT000311,greedy approach fails on this specific test case,Algorithms,Medium
DBT000312,extension request for the assignment due tonight,Deadline_Admin,High
DBT000313,"graph traversal is missing some nodes, would like this before the next class",Algorithms,Medium
DBT000314,"confused about when to use inheritance vs composition, this is blocking my progress",OOP_Design,High
DBT000315,query is extremely slow on the test dataset,Databases,Critical
DBT000316,"stack trace points to a line that looks fine to me, this is blocking my progress",Debugging_Errors,High
DBT000317,"hi, form submission is not updating the database, for future reference",WebDev,Low
DBT000318,"extension request for the assignment due tonight, just curious please help",Deadline_Admin,Low
DBT000319,"virtual environment not activating on windows, need to fix this soon",Env_Setup,Medium
DBT000320,"hi, submission portal is not accepting my file before the deadline, exam is happening right now",Deadline_Admin,Critical
DBT000321,"cors error when calling the backend from the frontend, deadline is tomorrow",WebDev,High
DBT000322,confused about when to use inheritance vs composition,OOP_Design,Medium
DBT000323,git merge conflict i don't know how to resolve,Env_Setup,Low
DBT000324,"getting a null pointer exception i cannot trace, need to fix this soon",Debugging_Errors,Medium
DBT000325,"my recursive function never hits the base case, no rush",Loops_Recursion,Low
DBT000326,dynamic programming table is giving wrong values,Algorithms,Low
DBT000327,"segmentation fault when i run the test suite, autograder is down and deadline is in minutes",Debugging_Errors,Critical
DBT000328,my code throws an error only on the grading server not locally,Debugging_Errors,Low
DBT000329,my class diagram doesn't match the actual code structure please help,OOP_Design,Low
DBT000330,"hi, my recursive function never hits the base case, would like this before the next class",Loops_Recursion,Medium
DBT000331,"constructor is not initializing the parent class fields, would like this before the next class",OOP_Design,Medium
DBT000332,"database connection keeps timing out during the demo, need to fix this soon",Databases,Medium
DBT000333,"constructor is not initializing the parent class fields, whenever you get a chance",OOP_Design,Low
DBT000334,my sql join is returning duplicate rows,Databases,Low
DBT000335,"cors error when calling the backend from the frontend, need to fix this soon",WebDev,Medium
DBT000336,"react component re-renders infinitely, deadline is tomorrow",WebDev,High
DBT000337,for loop skips the last element,Loops_Recursion,High
DBT000338,my code throws an error only on the grading server not locally,Debugging_Errors,High
DBT000339,"hi, python version mismatch is breaking the autograder, whenever you get a chance",Env_Setup,Low
DBT000340,loop runs forever and I don't know why,Loops_Recursion,Low
DBT000341,"hi, form submission is not updating the database",WebDev,Low
DBT000342,grade for the last assignment has not appeared yet,Deadline_Admin,Medium
DBT000343,"submission portal is not accepting my file before the deadline, submission is due in one hour",Deadline_Admin,Critical
DBT000344,"hi, not sure how polymorphism applies to this assignment, need to fix this soon",OOP_Design,Medium
DBT000345,"my recursive function never hits the base case, whenever you get a chance",Loops_Recursion,Low
DBT000346,"not sure how to normalize this schema for the project, whenever you get a chance please help",Databases,Low
DBT000347,"my sql join is returning duplicate rows, need to fix this soon",Databases,Medium
DBT000348,not sure which time complexity my solution actually has,Algorithms,Low
DBT000349,"virtual environment not activating on windows, need to fix this soon",Env_Setup,Medium
DBT000350,"my sql join is returning duplicate rows, just curious",Databases,Low
DBT000351,"hi, grade for the last assignment has not appeared yet, would like this before the next class",Deadline_Admin,Medium
DBT000352,"for loop skips the last element, just curious",Loops_Recursion,Low
DBT000353,"api call returns 404 only in production, this is blocking my progress",WebDev,High
DBT000354,"react component re-renders infinitely, deadline is tomorrow",WebDev,High
DBT000355,"virtual environment not activating on windows, for future reference",Env_Setup,Low
DBT000356,"hi, dynamic programming table is giving wrong values, deadline is tomorrow",Algorithms,High
DBT000357,"extension request for the assignment due tonight, whenever you get a chance",Deadline_Admin,Low
DBT000358,"exam is in two hours and autograder is down, just curious",Deadline_Admin,Low
DBT000359,database connection keeps timing out during the demo,Databases,Low
DBT000360,cannot install the required package on my laptop,Env_Setup,Medium
DBT000361,"getting an abstract method error in my subclass, this is blocking my progress",OOP_Design,High
DBT000362,for loop skips the last element,Loops_Recursion,Critical
DBT000363,"react component re-renders infinitely, deadline is tomorrow",WebDev,High
DBT000364,"hi, grade for the last assignment has not appeared yet, need to fix this soon",Deadline_Admin,Medium
DBT000365,git merge conflict i don't know how to resolve,Env_Setup,Low
DBT000366,python version mismatch is breaking the autograder,Env_Setup,High
DBT000367,"hi, form submission is not updating the database",WebDev,Low
DBT000368,"hi, index out of bounds error only on the last test case, need to fix this soon",Debugging_Errors,Medium
DBT000369,index out of bounds error only on the last test case,Debugging_Errors,Critical
DBT000370,"foreign key constraint fails on insert, autograder is down and deadline is in minutes",Databases,Critical
DBT000371,"cors error when calling the backend from the frontend, deadline is tomorrow",WebDev,High
